id,topic,sub_topic,question,correct_answer,distractor_1,distractor_2,distractor_3,explanation,difficulty
2aa8341a,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [31, 21, 33, 13, 35]. What is the Postorder traversal sequence of the resulting tree?","[13, 21, 35, 33, 31]","[31, 21, 13, 33, 35]","[31, 21, 33, 13, 35]","[35, 33, 31, 21, 13]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
84df94f3,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [89, 15, 56, 10, 54, 65, 41]. Perform Bubble Sort. What is the exact state of the array after the completion of 2 full pass(es)?","[15, 10, 54, 56, 41, 65, 89]","[89, 15, 56, 10, 54, 65, 41]","[10, 15, 41, 54, 56, 65, 89]","[89, 10, 56, 54, 15, 41, 65]","After 2 passes of Bubble Sort, the largest 2 elements effectively 'bubble' to the end in sorted order.",Medium
46a5167b,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(3), Pop(), Push(18), Pop(). What is the element at the TOP of the stack after these operations?",Empty,Error,0,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
d2dc4520,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(14), Pop(), Push(12), Push(4). What is the element at the TOP of the stack after these operations?",4,12,5,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
50a29d44,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(6), Pop(), Push(3), Push(13). What is the element at the TOP of the stack after these operations?",13,3,14,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
4a1a4075,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [1, 33, 16, 19, 15, 3, 44]. What is the Inorder traversal sequence of the resulting tree?","[1, 3, 15, 16, 19, 33, 44]","[1, 33, 16, 15, 3, 19, 44]","[1, 33, 16, 19, 15, 3, 44]","[44, 33, 19, 16, 15, 3, 1]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
37856caa,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [41, 44, 25, 19, 47, 17]. What is the Postorder traversal sequence of the resulting tree?","[17, 19, 25, 47, 44, 41]","[41, 25, 19, 17, 44, 47]","[41, 44, 25, 19, 47, 17]","[47, 44, 41, 25, 19, 17]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
44429c09,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(5), Push(15), Pop(), Pop(), Push(14), Push(4). What is the element at the TOP of the stack after these operations?",4,14,5,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
e01182e0,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [36, 48, 42, 1, 38, 46]. What is the Postorder traversal sequence of the resulting tree?","[1, 38, 46, 42, 48, 36]","[36, 1, 48, 42, 38, 46]","[36, 48, 42, 1, 38, 46]","[48, 46, 42, 38, 36, 1]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
465f3e43,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [11, 43, 24, 2, 41, 36]. What is the Preorder traversal sequence of the resulting tree?","[11, 2, 43, 24, 41, 36]","[2, 36, 41, 24, 43, 11]","[11, 43, 24, 2, 41, 36]","[43, 41, 36, 24, 11, 2]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
603373c2,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [98, 91, 71, 10, 54, 50]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[10, 54, 50, 71, 91, 98]","[98, 91, 71, 10, 54, 50]","[10, 50, 54, 71, 91, 98]","[10, 98, 50, 54, 91, 71]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
96edd314,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [47, 68, 83, 65, 73, 17, 53]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[47, 68, 65, 73, 17, 53, 83]","[47, 68, 83, 65, 73, 17, 53]","[17, 47, 53, 65, 68, 73, 83]","[65, 68, 17, 53, 73, 47, 83]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
ea824969,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [9, 3, 1, 47, 25, 33]. What is the Postorder traversal sequence of the resulting tree?","[1, 3, 33, 25, 47, 9]","[9, 3, 1, 47, 25, 33]","[9, 3, 1, 47, 25, 33]","[47, 33, 25, 9, 3, 1]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
498e3d57,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(7), Push(12), Push(6), Push(9), Push(18), Push(9), Push(1). What is the element at the TOP of the stack after these operations?",1,7,2,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
181e2bad,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [76, 13, 72, 56, 78]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[13, 56, 72, 76, 78]","[76, 13, 72, 56, 78]","[13, 56, 72, 76, 78]","[72, 13, 76, 56, 78]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
ba96a9f8,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [43, 59, 58, 48, 13, 47, 77, 90]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[43, 58, 48, 13, 47, 59, 77, 90]","[43, 59, 58, 48, 13, 47, 77, 90]","[13, 43, 47, 48, 58, 59, 77, 90]","[77, 59, 48, 90, 58, 43, 47, 13]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
0286bbbb,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(19), Pop(), Push(3), Pop(), Push(1), Pop(), Push(8). What is the element at the TOP of the stack after these operations?",8,8,9,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
210f5483,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [73, 51, 15, 97, 30, 60, 87, 20]. Perform Bubble Sort. What is the exact state of the array after the completion of 4 full pass(es)?","[15, 30, 51, 20, 60, 73, 87, 97]","[73, 51, 15, 97, 30, 60, 87, 20]","[15, 20, 30, 51, 60, 73, 87, 97]","[60, 20, 97, 51, 15, 30, 87, 73]","After 4 passes of Bubble Sort, the largest 4 elements effectively 'bubble' to the end in sorted order.",Medium
f2a2feae,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [48, 24, 28, 27, 17, 31, 12]. What is the Preorder traversal sequence of the resulting tree?","[48, 24, 17, 12, 28, 27, 31]","[12, 17, 27, 31, 28, 24, 48]","[48, 24, 28, 27, 17, 31, 12]","[48, 31, 28, 27, 24, 17, 12]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
2751f0e4,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [2, 29, 33, 48, 6]. What is the Postorder traversal sequence of the resulting tree?","[6, 48, 33, 29, 2]","[2, 29, 6, 33, 48]","[2, 29, 33, 48, 6]","[48, 33, 29, 6, 2]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
6a6dbb83,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [91, 72, 18, 89, 28, 70, 62]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[72, 18, 89, 28, 70, 62, 91]","[91, 72, 18, 89, 28, 70, 62]","[18, 28, 62, 70, 72, 89, 91]","[72, 28, 89, 18, 91, 70, 62]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
9537f7d2,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [41, 63, 81, 62, 38]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[41, 63, 62, 38, 81]","[41, 63, 81, 62, 38]","[38, 41, 62, 63, 81]","[63, 38, 81, 41, 62]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
7c0a55c1,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [90, 20, 18, 67, 54, 56]. Perform Bubble Sort. What is the exact state of the array after the completion of 2 full pass(es)?","[18, 20, 54, 56, 67, 90]","[90, 20, 18, 67, 54, 56]","[18, 20, 54, 56, 67, 90]","[90, 67, 54, 20, 18, 56]","After 2 passes of Bubble Sort, the largest 2 elements effectively 'bubble' to the end in sorted order.",Medium
9e3f10f2,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [44, 47, 3, 46, 16, 26]. What is the Inorder traversal sequence of the resulting tree?","[3, 16, 26, 44, 46, 47]","[44, 3, 16, 26, 47, 46]","[44, 47, 3, 46, 16, 26]","[47, 46, 44, 26, 16, 3]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
34d469c5,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [61, 32, 56, 27, 13, 43, 50]. Perform Bubble Sort. What is the exact state of the array after the completion of 2 full pass(es)?","[32, 27, 13, 43, 50, 56, 61]","[61, 32, 56, 27, 13, 43, 50]","[13, 27, 32, 43, 50, 56, 61]","[56, 50, 61, 32, 43, 13, 27]","After 2 passes of Bubble Sort, the largest 2 elements effectively 'bubble' to the end in sorted order.",Medium
fe9c56c1,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [47, 43, 20, 48, 38]. What is the Postorder traversal sequence of the resulting tree?","[38, 20, 43, 48, 47]","[47, 43, 20, 38, 48]","[47, 43, 20, 48, 38]","[48, 47, 43, 38, 20]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
6e5da198,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(11), Push(9), Push(5), Push(4), Pop(), Push(9), Pop(). What is the element at the TOP of the stack after these operations?",5,11,6,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
8f3911bf,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [86, 98, 74, 15, 73, 20, 22]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[15, 73, 20, 22, 74, 86, 98]","[86, 98, 74, 15, 73, 20, 22]","[15, 20, 22, 73, 74, 86, 98]","[86, 20, 73, 15, 22, 74, 98]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
e12ece90,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [84, 29, 90, 44, 60, 58, 51]. Perform Bubble Sort. What is the exact state of the array after the completion of 4 full pass(es)?","[29, 44, 51, 58, 60, 84, 90]","[84, 29, 90, 44, 60, 58, 51]","[29, 44, 51, 58, 60, 84, 90]","[44, 58, 84, 90, 29, 60, 51]","After 4 passes of Bubble Sort, the largest 4 elements effectively 'bubble' to the end in sorted order.",Medium
d1f1abbc,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [13, 27, 26, 17, 3, 7, 25]. What is the Postorder traversal sequence of the resulting tree?","[7, 3, 25, 17, 26, 27, 13]","[13, 3, 7, 27, 26, 17, 25]","[13, 27, 26, 17, 3, 7, 25]","[27, 26, 25, 17, 13, 7, 3]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
5a8b28e3,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [25, 32, 27, 40, 39, 13]. What is the Inorder traversal sequence of the resulting tree?","[13, 25, 27, 32, 39, 40]","[25, 13, 32, 27, 40, 39]","[25, 32, 27, 40, 39, 13]","[40, 39, 32, 27, 25, 13]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
b5b02ca4,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(19), Pop(), Push(6), Push(2), Push(4), Pop(). What is the element at the TOP of the stack after these operations?",2,6,3,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
19d86f56,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(10), Push(20), Pop(), Push(19). What is the element at the TOP of the stack after these operations?",19,10,20,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
9d10c87e,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [97, 54, 48, 85, 78, 26, 73]. Perform Bubble Sort. What is the exact state of the array after the completion of 2 full pass(es)?","[48, 54, 78, 26, 73, 85, 97]","[97, 54, 48, 85, 78, 26, 73]","[26, 48, 54, 73, 78, 85, 97]","[54, 48, 97, 78, 26, 85, 73]","After 2 passes of Bubble Sort, the largest 2 elements effectively 'bubble' to the end in sorted order.",Medium
23c57352,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [38, 49, 20, 39, 10]. What is the Postorder traversal sequence of the resulting tree?","[10, 20, 39, 49, 38]","[38, 20, 10, 49, 39]","[38, 49, 20, 39, 10]","[49, 39, 38, 20, 10]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
14578a7d,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [34, 57, 30, 64, 37, 68, 12, 73]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[34, 30, 57, 37, 64, 12, 68, 73]","[34, 57, 30, 64, 37, 68, 12, 73]","[12, 30, 34, 37, 57, 64, 68, 73]","[37, 64, 73, 30, 12, 68, 34, 57]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
3288e2c0,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(12), Push(3), Push(17), Push(9), Pop(). What is the element at the TOP of the stack after these operations?",17,12,18,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
bf03d5b0,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [61, 80, 88, 37, 85, 29, 82]. Perform Bubble Sort. What is the exact state of the array after the completion of 5 full pass(es)?","[29, 37, 61, 80, 82, 85, 88]","[61, 80, 88, 37, 85, 29, 82]","[29, 37, 61, 80, 82, 85, 88]","[37, 80, 61, 88, 29, 85, 82]","After 5 passes of Bubble Sort, the largest 5 elements effectively 'bubble' to the end in sorted order.",Medium
1a4ded88,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [24, 17, 1, 20, 12, 26]. What is the Preorder traversal sequence of the resulting tree?","[24, 17, 1, 12, 20, 26]","[12, 1, 20, 17, 26, 24]","[24, 17, 1, 20, 12, 26]","[26, 24, 20, 17, 12, 1]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
976251b6,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [67, 96, 24, 48, 77, 97]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[24, 48, 67, 77, 96, 97]","[67, 96, 24, 48, 77, 97]","[24, 48, 67, 77, 96, 97]","[96, 67, 48, 97, 77, 24]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
c728229a,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(15), Pop(), Push(10), Pop(), Push(10), Push(18), Pop(). What is the element at the TOP of the stack after these operations?",10,10,11,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
60f0089f,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [33, 80, 70, 47, 73, 86, 90]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[33, 70, 47, 73, 80, 86, 90]","[33, 80, 70, 47, 73, 86, 90]","[33, 47, 70, 73, 80, 86, 90]","[90, 70, 33, 80, 73, 47, 86]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
13199bf6,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [9, 38, 23, 8, 12]. What is the Preorder traversal sequence of the resulting tree?","[9, 8, 38, 23, 12]","[8, 12, 23, 38, 9]","[9, 38, 23, 8, 12]","[38, 23, 12, 9, 8]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
33f847b7,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(9), Push(11), Push(13), Pop(), Push(13), Push(2), Push(4). What is the element at the TOP of the stack after these operations?",4,9,5,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
53e20388,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [79, 17, 88, 77, 53, 35]. Perform Bubble Sort. What is the exact state of the array after the completion of 4 full pass(es)?","[17, 35, 53, 77, 79, 88]","[79, 17, 88, 77, 53, 35]","[17, 35, 53, 77, 79, 88]","[35, 17, 79, 77, 53, 88]","After 4 passes of Bubble Sort, the largest 4 elements effectively 'bubble' to the end in sorted order.",Medium
1d5cb3e8,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [85, 16, 74, 65, 94, 79, 57, 41]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[16, 74, 65, 85, 79, 57, 41, 94]","[85, 16, 74, 65, 94, 79, 57, 41]","[16, 41, 57, 65, 74, 79, 85, 94]","[65, 16, 79, 85, 94, 74, 57, 41]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
d2a1b4e6,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [39, 5, 37, 19, 49, 29]. What is the Postorder traversal sequence of the resulting tree?","[29, 19, 37, 5, 49, 39]","[39, 5, 37, 19, 29, 49]","[39, 5, 37, 19, 49, 29]","[49, 39, 37, 29, 19, 5]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
8d114708,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [41, 91, 87, 35, 40, 25]. Perform Bubble Sort. What is the exact state of the array after the completion of 2 full pass(es)?","[41, 35, 40, 25, 87, 91]","[41, 91, 87, 35, 40, 25]","[25, 35, 40, 41, 87, 91]","[25, 40, 41, 87, 91, 35]","After 2 passes of Bubble Sort, the largest 2 elements effectively 'bubble' to the end in sorted order.",Medium
164199a9,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [20, 80, 62, 55, 53]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[20, 53, 55, 62, 80]","[20, 80, 62, 55, 53]","[20, 53, 55, 62, 80]","[20, 80, 53, 62, 55]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
ae574e8f,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [21, 5, 4, 7, 3, 26, 27]. What is the Postorder traversal sequence of the resulting tree?","[3, 4, 7, 5, 27, 26, 21]","[21, 5, 4, 3, 7, 26, 27]","[21, 5, 4, 7, 3, 26, 27]","[27, 26, 21, 7, 5, 4, 3]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
3e4c4d65,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [46, 24, 3, 5, 36, 12, 38]. What is the Postorder traversal sequence of the resulting tree?","[12, 5, 3, 38, 36, 24, 46]","[46, 24, 3, 5, 12, 36, 38]","[46, 24, 3, 5, 36, 12, 38]","[46, 38, 36, 24, 12, 5, 3]",The BST is constructed by inserting nodes. Postorder visits nodes in specific recursive order.,Hard
991c559d,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(10), Push(13), Push(12), Push(16), Push(16), Push(1). What is the element at the TOP of the stack after these operations?",1,10,2,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
991810d8,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(2), Pop(), Push(19), Push(7). What is the element at the TOP of the stack after these operations?",7,19,8,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
bef0c862,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [4, 21, 8, 15, 18]. What is the Preorder traversal sequence of the resulting tree?","[4, 21, 8, 15, 18]","[18, 15, 8, 21, 4]","[4, 21, 8, 15, 18]","[21, 18, 15, 8, 4]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
55494953,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [41, 46, 52, 53, 11, 64]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[41, 46, 52, 11, 53, 64]","[41, 46, 52, 53, 11, 64]","[11, 41, 46, 52, 53, 64]","[52, 64, 11, 41, 53, 46]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
c17de491,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(11), Push(5), Pop(), Push(20). What is the element at the TOP of the stack after these operations?",20,11,21,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
5f58c952,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(15), Push(20), Pop(), Pop(). What is the element at the TOP of the stack after these operations?",Empty,Error,0,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
e81bd4fa,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(10), Push(3), Pop(), Pop(), Push(10), Pop(), Push(10). What is the element at the TOP of the stack after these operations?",10,10,11,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
de60a59b,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [47, 56, 19, 26, 39]. Perform Bubble Sort. What is the exact state of the array after the completion of 2 full pass(es)?","[19, 26, 39, 47, 56]","[47, 56, 19, 26, 39]","[19, 26, 39, 47, 56]","[47, 56, 39, 26, 19]","After 2 passes of Bubble Sort, the largest 2 elements effectively 'bubble' to the end in sorted order.",Medium
c3544e61,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(7), Push(3), Push(9), Pop(), Push(13), Push(5), Pop(). What is the element at the TOP of the stack after these operations?",13,7,14,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
d9a00e4e,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [63, 44, 91, 28, 35, 12, 52]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[44, 63, 28, 35, 12, 52, 91]","[63, 44, 91, 28, 35, 12, 52]","[12, 28, 35, 44, 52, 63, 91]","[35, 91, 63, 28, 52, 44, 12]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
d913c67a,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [21, 31, 26, 95, 18, 86, 33]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[21, 26, 31, 18, 86, 33, 95]","[21, 31, 26, 95, 18, 86, 33]","[18, 21, 26, 31, 33, 86, 95]","[33, 21, 86, 31, 18, 26, 95]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
0cc2e088,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(2), Push(13), Pop(), Push(14), Push(15), Push(8). What is the element at the TOP of the stack after these operations?",8,2,9,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
c7f6acf0,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(17), Push(12), Push(9), Pop(), Push(14), Push(17), Push(2). What is the element at the TOP of the stack after these operations?",2,17,3,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
9284b673,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(6), Pop(), Push(8), Push(2). What is the element at the TOP of the stack after these operations?",2,8,3,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
6e4ac3ea,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [16, 49, 52, 60, 56, 39, 44]. Perform Bubble Sort. What is the exact state of the array after the completion of 4 full pass(es)?","[16, 39, 44, 49, 52, 56, 60]","[16, 49, 52, 60, 56, 39, 44]","[16, 39, 44, 49, 52, 56, 60]","[44, 49, 39, 52, 60, 16, 56]","After 4 passes of Bubble Sort, the largest 4 elements effectively 'bubble' to the end in sorted order.",Medium
f90cd8bf,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [38, 41, 43, 23, 12, 39, 48]. What is the Inorder traversal sequence of the resulting tree?","[12, 23, 38, 39, 41, 43, 48]","[38, 23, 12, 41, 39, 43, 48]","[38, 41, 43, 23, 12, 39, 48]","[48, 43, 41, 39, 38, 23, 12]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
22406db0,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(19), Push(4), Pop(), Push(5), Push(7), Pop(). What is the element at the TOP of the stack after these operations?",5,19,6,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
ad0b4d27,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [44, 46, 31, 34, 18]. What is the Inorder traversal sequence of the resulting tree?","[18, 31, 34, 44, 46]","[44, 31, 18, 34, 46]","[44, 46, 31, 34, 18]","[46, 44, 34, 31, 18]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
a9f91124,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(5), Push(3), Push(3), Push(19), Push(4), Push(15), Pop(). What is the element at the TOP of the stack after these operations?",4,5,5,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
8c5856af,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [63, 25, 55, 76, 91, 80, 14]. Perform Bubble Sort. What is the exact state of the array after the completion of 4 full pass(es)?","[25, 55, 14, 63, 76, 80, 91]","[63, 25, 55, 76, 91, 80, 14]","[14, 25, 55, 63, 76, 80, 91]","[25, 14, 76, 91, 63, 55, 80]","After 4 passes of Bubble Sort, the largest 4 elements effectively 'bubble' to the end in sorted order.",Medium
c9f7ee7e,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(9), Push(7), Push(5), Pop(), Push(12). What is the element at the TOP of the stack after these operations?",12,9,13,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
15572c07,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [35, 15, 36, 48, 29, 25]. What is the Preorder traversal sequence of the resulting tree?","[35, 15, 29, 25, 36, 48]","[25, 29, 15, 48, 36, 35]","[35, 15, 36, 48, 29, 25]","[48, 36, 35, 29, 25, 15]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
d4e7b3df,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [10, 11, 16, 28, 21]. Perform Bubble Sort. What is the exact state of the array after the completion of 1 full pass(es)?","[10, 11, 16, 21, 28]","[10, 11, 16, 28, 21]","[10, 11, 16, 21, 28]","[11, 16, 21, 28, 10]","After 1 passes of Bubble Sort, the largest 1 elements effectively 'bubble' to the end in sorted order.",Medium
